Offense,team_pass_rate
Abilene Christian,0.5834394904458599
Air Force,0.21536144578313254
Akron,0.6309904153354633
Alabama,0.4623044096728307
Alabama A&M,0.4752906976744186
Alabama State,0.33705357142857145
Alcorn State,0.4110429447852761
App State,0.5412698412698412
Arizona,0.5993690851735016
Arizona State,0.4236842105263158
Arkansas,0.4966078697421981
Arkansas State,0.5193798449612403
Arkansas-Pine Bluff,0.5466666666666666
Army,0.12995245641838352
Auburn,0.5072463768115942
Augustana University (SD),0.7090909090909091
Austin Peay,0.5023696682464455
Ave Maria University,0.49504950495049505
BYU,0.4724186704384724
Ball State,0.5684210526315789
Baylor,0.4966442953020134
Bethune-Cookman,0.4814159292035398
Black Hills State,0.6031746031746031
Boise State,0.44370860927152317
Boston College,0.42795389048991356
Bowling Green,0.5236051502145923
Brown,0.5327510917030568
Bryant,0.6383399209486166
Bucknell,0.5612535612535613
Buffalo,0.437414030261348
Butler,0.3767441860465116
Cal Poly,0.5498281786941581
California,0.5768156424581006
Campbell,0.4879154078549849
Catawba,0.6271186440677966
Central Arkansas,0.4836223506743738
Central Connecticut,0.42901234567901236
Central Michigan,0.45737704918032784
Central State (OH),0.5263157894736842
Central Washington,0.3898305084745763
Charleston Southern,0.4306930693069307
Charlotte,0.5238095238095238
Chattanooga,0.44271570014144274
Cincinnati,0.4984894259818731
Clark Atlanta,0.6867469879518072
Clemson,0.5552731893265566
Coastal Carolina,0.4523121387283237
Colgate,0.5544554455445545
Colorado,0.6304347826086957
Colorado State,0.4277286135693215
Columbia,0.4902654867256637
Cornell,0.5775401069518716
Dartmouth,0.46853146853146854
Davidson,0.21818181818181817
Dayton,0.4596651445966514
Delaware,0.5227272727272727
Delaware State,0.5329949238578681
Drake,0.5987124463519313
Duke,0.5623268698060941
Duquesne,0.4784
East Carolina,0.512396694214876
East Tennessee State,0.4472511144130758
East Texas A&M,0.5986394557823129
Eastern Illinois,0.6207865168539326
Eastern Kentucky,0.428169014084507
Eastern Michigan,0.5139813581890812
Eastern Washington,0.4199066874027994
Edinboro University,0.47058823529411764
Elon,0.5030487804878049
Florida,0.47093889716840537
Florida A&M,0.591337099811676
Florida Atlantic,0.4992343032159265
Florida International,0.4966101694915254
Florida State,0.5738539898132428
Fordham,0.5041459369817579
Fresno State,0.5545851528384279
Furman,0.521079258010118
Gardner-Webb,0.4938101788170564
Georgetown,0.5149006622516556
Georgetown College Kentucky,0.6190476190476191
Georgia,0.5744089012517385
Georgia Southern,0.5515818431911967
Georgia State,0.6029850746268657
Georgia Tech,0.4671232876712329
Grambling,0.48881239242685026
Hampton,0.398970398970399
Hanover College,0.54
Harvard,0.4446494464944649
Hawai'i,0.6342141863699583
Holy Cross,0.4344512195121951
Houston,0.4388984509466437
Houston Christian,0.5095846645367412
Howard,0.47392638036809814
Idaho,0.4614065180102916
